number,package,version,incompatible python version,resource type
524,apache-airflow-backport-providers-jdbc,2021.3.17,3.10,whl
525,apache-airflow-backport-providers-jenkins,2021.3.3,3.10,whl
526,apache-airflow-backport-providers-jira,2021.3.17,3.10,whl
527,apache-airflow-backport-providers-microsoft-azure,2021.3.13,3.10,whl
528,apache-airflow-backport-providers-microsoft-mssql,2020.11.23,3.10,whl
529,apache-airflow-backport-providers-microsoft-winrm,2020.11.23,3.10,whl
530,apache-airflow-backport-providers-mysql,2021.3.3,3.10,whl
531,apache-airflow-backport-providers-openfaas,2021.3.3,3.10,whl
532,apache-airflow-backport-providers-redis,2021.3.17,3.10,whl
533,apache-airflow-backport-providers-samba,2021.3.17,3.10,whl
534,apache-airflow-backport-providers-segment,2021.3.17,3.10,whl
